id, azione
1, "salvataggio"
2, "evacuazione"
3, "allerta"
4, "assistenza"
5, "comunicazione"
6, "monitoraggio"
7, "intervento"
8, "prevenzione"
9, "risposta"
10, "coordinamento"
11, "soppressione"
12, "ricerca"
13, "operazione di salvataggio"
14, "cura"
15, "protezione"
16, "supporto"
17, "rimozione"
18, "controllo"
19, "gestione"
20, "analisi"
21, "valutazione"
22, "formazione"
23, "consapevolezza"
24, "supporto psicologico"
25, "riabilitazione"
26, "monitoraggio ambientale"
27, "non interferenza"
28, "ignorare"
29, "richiesta di aiuto"
30, "attendere istruzioni"
31, "mediazione"
32, "negoziazione"
33, "de-escalation"
34, "fare rapporto"
35, "isolamento"
36, "contenimento"
37, "documentazione"
38, "verifica"
39, "supporto morale"
40, "deterrenza"
41, "conferma"
42, "prioritizzazione"
43, "segnalazione anonima"
44, "coinvolgimento di esperti"
45, "uso della forza"
46, "confronto verbale"
47, "protezione dell'infanzia"
48, "scorta"
49, "distribuzione delle risorse"
50, "sorveglianza attiva"
51, "raccolta di prove"
52, "applicazione dei protocolli"
53, "notifica alla famiglia"
54, "gestione dei conflitti"
55, "supporto legale"
56, "sospensione delle attività"
57, "accompagnamento"
58, "separazione"
59, "notifica alle autorità"
60, "controllo degli accessi"
